q,h1_sensor,h1_serial,h2_sensor,h2_serial,h1_switch,h2_switch
34.0,6.892024197333914,7.87,26.06025944178272,26.54,True,True
34.0,7.996353381561819,7.35,26.939750671005577,26.07,True,True
34.0,6.911994410691816,7.51,25.961909024967852,26.85,True,True
34.0,6.81349288142006,7.38,25.597133821881165,26.0,True,True
34.0,7.23555490897643,6.86,25.899275629990225,25.58,True,True
34.0,7.565374276316052,7.08,25.226285524304604,25.86,True,True
34.0,7.520470719247365,7.27,25.429570600415172,25.26,True,True
34.0,8.383662021210286,7.57,26.547176702747905,25.44,True,True
34.0,7.9321728376016765,8.03,25.633799554144243,26.49,True,True
34.0,7.943299955371797,7.99,26.21855049837748,25.71,True,True
34.0,7.391370065308108,7.99,25.579846565885834,26.21,True,True
34.0,7.071605531705287,7.58,25.584820514923713,25.63,True,True
34.0,7.522019594855744,7.27,25.547176175270167,25.58,True,True
34.0,7.4893588266338975,7.27,25.602835698825015,25.54,True,True
34.0,7.255801365680877,7.51,25.62428227625454,25.61,True,True
34.0,7.436661843859034,7.4,26.098504422273056,25.63,True,True
34.0,7.608481839926897,7.42,25.56392335452443,26.06,True,True
34.0,8.556742981903879,7.5,25.760792180530395,26.06,True,False
34.0,7.188450872941353,7.55,25.08084419038306,26.06,False,False
34.0,7.289658120715792,7.51,26.092066085796993,26.05,False,False
34.0,7.370334808953242,7.53,25.823855980442122,26.05,False,False
34.0,6.646079800455459,7.51,26.269572577623016,26.04,False,False
34.0,7.2582142398042135,7.51,25.90025222845975,26.04,False,False
34.0,7.8169035982279444,7.51,25.855810325737984,26.03,False,False
34.0,7.647040556255158,7.51,26.306725555700886,26.03,False,False
34.0,7.570730309108513,7.5,24.990918532694767,26.03,False,False
34.0,7.959425174109871,7.5,25.795467737645783,26.02,False,False
34.0,7.699339913236322,7.49,25.719288905553913,26.02,False,False
34.0,7.421085779142005,7.49,26.13385994695019,26.01,False,False
34.0,7.800015364130056,7.49,26.11642221927861,26.01,False,False
34.0,7.513867347735947,7.49,25.664380357018683,26.0,False,False
34.0,6.644437235937821,7.48,25.364098547026092,26.0,False,False
34.0,7.1091177464215685,7.48,26.059223828994398,25.99,False,False
34.0,7.075139426476348,7.48,25.091554839938883,25.99,False,False
34.0,7.666158610461842,7.48,25.675078710845106,25.98,False,False
34.0,7.484898071872616,7.47,26.774594248744354,25.98,False,False
34.0,6.984925437114051,7.47,25.91138538614982,25.97,False,False
34.0,7.855428374230012,7.47,25.827829368692896,25.97,False,False
34.0,6.802361151884414,7.47,26.199833030615896,25.97,False,False
34.0,7.021770526531094,7.47,25.42505766771381,25.96,False,False
34.0,7.305118310705581,7.46,25.47033793747668,25.96,False,False
34.0,6.679788667143546,7.46,25.701366310347733,25.95,False,False
34.0,7.2561855657294405,7.46,25.01348729586634,25.95,False,False
34.0,7.6767197568304955,7.46,25.903662762436134,25.94,False,False
34.0,7.174398518842825,7.46,25.949143330561714,25.94,False,False
34.0,7.284449191331657,7.46,26.09319184882801,25.93,False,False
34.0,7.021944159464191,7.46,26.067294843028208,25.93,False,False
34.0,6.904103832821054,7.45,26.19079128811036,25.93,False,False
34.0,7.336320381029352,7.45,25.65601516469632,25.92,False,False
34.0,7.497088295238731,7.45,26.48514669332762,25.92,False,False
