sp,h1_switch,h2_switch,h1_sensor,h2_sensor,q,h1_serial,h2_serial
18.8644,True,True,5.494880881591122,18.205620962476424,29.27,5.02,18.01
18.8644,True,True,5.865711140689642,18.206783074766264,29.3,5.18,18.2
18.8644,True,True,5.509793685526127,18.077840033913883,29.03,5.63,18.23
18.8644,True,True,4.722188166389338,18.41428641349657,29.0,5.67,18.1
18.8644,True,True,5.126515820957842,18.05273210270541,29.2,5.26,18.4
18.8644,True,True,5.07841714520622,18.786947352256085,28.76,4.89,18.06
18.8644,True,True,4.955558755268584,18.436833495587237,29.28,5.27,18.75
18.8644,True,True,5.62145164236637,18.59945653879931,28.25,4.99,18.45
18.8644,True,True,5.253746028150429,17.25794975631557,28.7,5.27,18.58
18.8644,True,True,5.108931359883035,19.029193722309962,28.51,5.22,17.32
18.8644,True,True,5.387387797223518,17.986842506911003,30.42,5.54,18.94
18.8644,True,True,5.935949000975627,17.99869263707825,28.0,5.06,18.05
18.8644,True,True,5.494781166504015,18.256068743007255,29.34,5.6,18.0
18.8644,True,True,4.872343921336201,18.559071831677365,29.43,5.78,18.27
18.8644,True,True,5.567943233645899,18.425097119742645,29.04,5.31,18.55
18.8644,True,True,5.44535410677644,18.331732886695903,28.62,5.16,18.43
18.8644,True,True,6.468690184656765,18.679682680254743,28.8,5.48,18.34
18.8644,True,True,5.898456985044495,18.660467560347428,28.94,5.89,18.69
18.8644,True,True,6.085859783585025,18.82411233526719,28.43,6.14,18.7
18.8644,True,True,5.887614723820639,19.435925105076556,28.41,5.93,18.84
18.8644,True,True,5.066185272954345,19.299894292939577,28.2,6.03,19.44
18.8644,True,True,6.5293569252157235,18.70360334097013,27.3,5.46,19.31
18.8644,True,True,5.333914627086473,18.315631200125896,27.48,5.5,18.73
18.8644,True,True,5.112671412850477,18.854609244875004,28.36,5.87,18.34
18.8644,True,True,4.5974543847575156,18.746576036389275,28.94,5.34,18.82
18.8644,True,True,5.827622472272629,18.403873403804457,28.22,4.91,18.74
18.8644,True,True,5.7825102220918705,18.493769897013745,28.35,5.07,18.4
18.8644,True,True,5.049266865333494,19.868494119679408,28.86,5.78,18.5
18.8644,True,True,5.704974000566317,19.098065000588175,28.72,5.69,19.82
18.8644,True,True,5.257945862449798,18.86523292140543,26.73,5.14,19.13
18.8644,True,True,6.6679349398141605,18.87314834857734,27.76,5.41,18.86
18.8644,True,True,5.658228064666436,18.182074447755564,28.17,5.78,18.88
18.8644,True,True,5.197402380131449,19.04604389293514,28.13,6.02,18.24
18.8644,True,True,5.171506747220038,18.204740490645676,29.1,5.6,19.01
18.8644,True,True,6.252506910517296,18.12026993175017,27.95,5.04,18.24
18.8644,True,True,4.7208698502008,18.463042937004047,29.11,5.58,18.12
18.8644,True,True,5.386634689154281,18.970840148426248,29.29,5.66,18.46
18.8644,True,True,5.350450096043396,17.42404852668201,28.79,5.13,18.94
18.8644,True,True,5.346106057896095,18.550051004206473,28.07,5.09,17.49
18.8644,True,True,5.245441795611587,18.532815895895038,30.26,5.57,18.49
18.8644,True,True,5.29737629194067,18.21921683445461,28.78,5.32,18.55
18.8644,True,True,4.844821619498593,17.973216246936847,28.69,5.22,18.23
18.8644,True,True,4.562401271531476,18.77792039674974,29.18,5.1,17.97
18.8644,True,True,4.972806899361439,18.145857381613833,29.58,4.95,18.72
18.8644,True,True,5.3931309440034525,18.29852834251685,28.46,4.7,18.16
18.8644,True,True,4.626058542255457,18.757688978643234,29.31,5.21,18.28
18.8644,True,True,5.7830996991595605,18.470165510674523,29.14,5.19,18.73
18.8644,True,True,3.972613489861834,18.430894663848434,28.46,5.08,18.48
18.8644,False,True,5.271206204601633,18.18476029320137,28.85,5.47,18.43
18.8644,False,True,5.681517415308322,18.675441457605068,28.92,5.22,18.19
18.8644,False,True,4.84196075104594,17.77461410871142,29.3,5.46,18.66
18.8644,False,True,5.369794713478916,19.09203082144249,28.61,5.17,17.82
18.8644,False,True,5.683578037451367,18.154430659014714,29.87,5.58,19.03
18.8644,False,False,5.077762084608437,18.72327039396376,28.06,5.32,19.05
18.8644,False,False,6.3425164945140695,17.646447926384287,28.03,5.44,19.05
18.8644,False,False,4.98491525438585,18.061980218843587,28.03,5.34,19.04
18.8644,False,False,4.9560608532242565,18.561610593190476,28.03,5.36,19.04
18.8644,False,False,4.938576319099663,18.153278958993933,28.04,5.32,19.03
18.8644,False,False,4.473371856447567,19.028916612199943,28.04,5.32,19.03
18.8644,False,False,4.757748006706522,17.93811998660136,28.05,5.3,19.02
18.8644,False,False,5.247562116806243,17.377487483888196,28.06,5.29,19.01
18.8644,False,False,4.986764458246444,18.2398953664178,28.07,5.27,19.0
18.8644,False,False,4.950900173731705,17.858673129204643,28.08,5.26,18.99
18.8644,False,False,4.768211788753821,19.128398170664774,28.09,5.25,18.98
18.8644,False,False,5.117538290025481,17.939966795066706,28.1,5.24,18.97
18.8644,False,False,5.333541643992817,18.39418281666251,28.12,5.23,18.96
18.8644,False,False,4.970859215033089,18.187427471733255,28.13,5.22,18.95
18.8644,False,False,4.839024398318346,18.82476541158937,28.14,5.21,18.94
18.8644,False,False,5.525716691593809,18.859263630791705,28.16,5.2,18.93
18.8644,False,False,5.485447241456665,17.763852106010155,28.17,5.2,18.92
18.8644,False,False,5.441722334982851,17.69083235948563,28.19,5.19,18.91
18.8644,False,False,5.469594328302776,18.66321179908159,28.2,5.19,18.9
18.8644,False,False,5.962815562262793,18.312393232588732,28.22,5.18,18.89
18.8644,False,False,5.586774683537624,18.578339692732822,28.23,5.18,18.88
18.8644,False,False,4.571638804858272,18.806671547752117,28.25,5.18,18.87
18.8644,False,False,4.488699408991382,19.018498331360863,28.27,5.18,18.86
18.8644,False,False,4.53964666610535,18.548707386391715,28.28,5.18,18.85
18.8644,False,False,5.28082054245782,17.407795020128745,28.3,5.17,18.83
18.8644,False,False,5.771758727621326,19.099806923154137,28.32,5.17,18.82
18.8644,False,False,5.099420017323215,18.083135010856665,28.33,5.17,18.81
18.8644,False,False,4.76233310431807,18.105014526818515,28.35,5.17,18.8
18.8644,False,False,5.803000000225922,18.34221809990057,28.37,5.17,18.79
18.8644,False,False,4.835366079337162,17.762959499649007,28.38,5.18,18.78
18.8644,False,False,5.569119945145713,19.136289097075796,28.4,5.18,18.77
18.8644,False,False,5.281447356700049,18.02697158164559,28.42,5.18,18.76
18.8644,False,False,5.0128417099026255,19.340194310817996,28.43,5.18,18.75
12.3644,False,False,4.405602855451922,18.413349037554834,28.45,5.18,18.74
12.3644,False,False,4.361594065976331,18.42267690267701,21.5,5.0,18.79
12.3644,False,False,4.272174383958085,18.355095696411055,21.5,4.85,18.77
12.3644,False,False,4.783737580309844,18.77540088355914,21.5,4.68,18.74
12.3644,False,False,4.505738802787246,18.074640129253115,21.5,4.54,18.71
12.3644,False,False,4.209600380160499,18.40325082694359,21.5,4.4,18.67
12.3644,False,False,3.514174095875608,18.25231575958005,21.5,4.28,18.62
12.3644,False,False,4.482740663921457,18.337211931049133,21.5,4.16,18.57
12.3644,False,False,4.1421201481381456,19.528417034881965,21.5,4.05,18.52
12.3644,False,False,4.292008914112765,17.96313077452051,21.5,3.95,18.46
12.3644,False,False,4.2612785777929885,18.37156881931674,21.5,3.86,18.4
12.3644,False,False,4.0313000047169805,17.2402972659355,21.5,3.77,18.33
12.3644,False,False,3.6506807687607545,17.24870916713764,21.5,3.69,18.26
12.3644,False,False,3.593351104391277,17.76487047578541,21.5,3.62,18.19
12.3644,False,False,3.697450447753354,18.457383984254076,21.5,3.56,18.12
12.3644,False,False,2.987899170179807,17.692839245877483,21.5,3.5,18.04
12.3644,False,False,4.167909040633679,17.859258740598463,21.5,3.44,17.97
12.3644,False,False,3.2357875726051972,17.304100160316985,21.5,3.39,17.89
12.3644,False,False,3.1814715592835836,17.067591810868347,21.5,3.35,17.82
12.3644,False,False,3.4504083334074767,17.857483287418333,21.5,3.31,17.74
12.3644,False,False,3.455508880442465,17.448625007715503,21.5,3.27,17.66
12.3644,False,False,2.983815973709526,16.560730642261472,21.5,3.24,17.58
12.3644,False,False,3.248788698457809,17.109374272847123,21.5,3.21,17.5
12.3644,False,False,3.184697080720641,17.36454083422808,21.5,3.18,17.43
12.3644,False,False,2.9772345153738335,17.49718376039342,21.5,3.16,17.35
12.3644,False,False,3.323938600807758,17.48829938004199,21.5,3.14,17.27
12.3644,False,False,2.2418649024843083,15.759869713489575,21.5,3.12,17.19
12.3644,False,False,2.79217469537635,15.881478017252743,21.5,3.1,17.12
12.3644,False,False,3.1946922450115607,16.054205078643594,21.5,3.08,17.04
12.3644,False,False,2.3674771154379792,16.89705726867542,21.5,3.07,16.97
12.3644,False,False,2.9544739859563856,16.84673159295716,21.5,3.05,16.89
12.3644,False,False,3.4375654740669863,17.32024144443606,21.5,3.04,16.82
12.3644,False,False,2.5845091809778866,16.239338054886364,21.5,3.03,16.74
12.3644,False,False,3.485002633994438,16.304538400430683,21.5,3.02,16.67
12.3644,False,False,3.2421944761057286,16.457396968846812,21.5,3.02,16.6
12.3644,False,False,3.012957032380575,16.591899995135012,21.5,3.01,16.52
12.3644,False,False,3.129742693726374,16.47783582169783,21.5,3.0,16.45
12.3644,False,False,2.8366820610614467,15.198146158515168,21.5,3.0,16.38
12.3644,False,False,3.1068649143561835,15.033496749369808,21.5,2.99,16.31
12.3644,False,False,3.127877638633768,16.015085559307828,21.5,2.99,16.24
12.3644,False,False,2.3601453299176267,15.994563057695498,21.5,2.98,16.18
12.3644,False,False,2.3680272813021244,15.75987401359405,21.5,2.98,16.11
12.3644,False,False,2.930484209091919,14.889068109247091,21.5,2.97,16.04
12.3644,False,False,3.9734700320462246,15.461617860923296,21.5,2.97,15.98
12.3644,False,False,2.295526856279629,15.033914845453785,21.5,2.97,15.91
12.3644,False,False,2.72284136561084,15.797982204036678,21.5,2.97,15.84
12.3644,False,False,2.071094384016579,14.612467504195441,21.5,2.96,15.78
12.3644,False,False,3.1801223878443645,14.46704995247618,21.5,2.96,15.72
12.3644,False,False,3.7490158073239006,15.8806016154392,21.5,2.96,15.65
12.3644,False,False,2.285956949270506,15.373157460891766,21.5,2.96,15.59
12.3644,False,False,3.200380241567524,15.524749710585104,21.5,2.96,15.53
12.3644,False,False,3.1442557927890387,14.133216858206268,21.5,2.96,15.47
12.3644,False,False,2.988743507997968,13.839624417974704,21.5,2.96,15.41
12.3644,False,False,2.5553308431192856,14.025639016127643,21.5,2.95,15.35
12.3644,False,False,3.5943226457429684,13.842960261040124,21.5,2.95,15.29
12.3644,False,False,2.2090105281824,14.197771673965187,21.5,2.95,15.23
12.3644,False,False,2.9203357079137797,14.360396212907562,21.5,2.95,15.17
12.3644,False,False,3.7214890342938496,14.487656873306447,21.5,2.95,15.11
12.3644,False,False,3.0037026204016843,13.81070474934852,21.5,2.95,15.05
12.3644,False,False,2.513506918860408,13.514946536597694,21.5,2.95,15.0
12.3644,False,False,3.241406417275842,14.52686186145662,21.5,2.95,14.94
12.3644,False,False,2.690034266179808,13.918885513799212,21.5,2.95,14.88
12.3644,False,False,3.0367920390358623,14.98424589805091,21.5,2.95,14.83
12.3644,False,False,3.6205029893693927,14.360562459111225,21.5,2.95,14.77
12.3644,False,False,2.6717037404908286,14.114365312145438,21.5,2.95,14.72
12.3644,False,False,3.107411284245638,13.725173372013975,21.5,2.95,14.66
12.3644,False,False,2.5305135100183174,14.069319137506705,21.5,2.95,14.61
12.3644,False,False,3.4155932347496782,14.174310472542471,21.5,2.95,14.56
12.3644,False,False,3.4634522630922473,14.758631818643531,21.5,2.95,14.5
12.3644,False,False,2.73605703934395,13.618284929355017,21.5,2.95,14.45
12.3644,False,False,2.481372269417552,13.179844944888892,21.5,2.95,14.4
12.3644,False,False,4.252027194462054,13.912823011618102,21.5,2.95,14.35
12.3644,False,False,3.138469448513356,13.450081439106155,21.5,2.95,14.3
12.3644,False,False,3.5041428244763395,14.14903699493586,21.5,2.95,14.25
12.3644,False,False,2.474947908262831,13.669194600835828,21.5,2.95,14.2
12.3644,False,False,2.836081833450957,13.665551973644439,21.5,2.95,14.15
12.3644,False,False,3.093925311877407,13.37035556864077,21.5,2.95,14.1
12.3644,False,False,3.3521998493574867,13.494372229659621,21.5,2.95,14.05
12.3644,False,False,2.9148604036117556,13.533774358346864,21.5,2.95,14.0
12.3644,False,False,2.6290364208308694,13.777348782113677,21.5,2.95,13.95
12.3644,False,False,2.605238219327036,13.358233002480508,21.5,2.95,13.91
12.3644,False,False,2.8943186565025636,13.481517939352816,21.5,2.95,13.86
12.3644,False,False,3.687233246758839,13.236920866917165,21.5,2.95,13.81
12.3644,False,False,2.907012381280259,13.623412035253953,21.5,2.95,13.77
12.3644,False,False,3.631510160120559,13.915998196134828,21.5,2.96,13.72
12.3644,False,False,3.3545278684126587,13.49786806754232,21.5,2.96,13.67
12.3644,False,False,2.4237890114978735,12.749976806017603,21.5,2.96,13.63
12.3644,False,False,3.1060099795667373,12.98644055035653,21.5,2.96,13.58
12.3644,False,False,3.288609537166954,14.024048531846239,21.54,2.96,13.54
12.3644,False,False,2.5734267561436672,12.922507279303463,21.59,2.96,13.5
12.3644,False,False,2.098490486242665,13.201869723519868,21.64,2.96,13.45
12.3644,False,False,2.4612546076034745,12.25023068957351,21.69,2.97,13.41
12.3644,False,False,3.352977676821914,11.687210927585994,21.73,2.98,13.37
